WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,LandVisibility,DewPoint,RelativeHumidity,WindDirection,WindSpeed,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,MinimumTemperature,AirTemperature,StationPressure
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.91,10-15-2019,07:00:00,8.00,21.0,97,000,0.0,1.30,0.00,1016.30,21.2,21.5,985.66
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.15,10-15-2019,07:00:00,4.00,20.5,97,000,0.0,0.20,0.00,1015.90,21.0,21.0,979.47
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.33,10-15-2019,07:00:00,8.00,21.9,94,000,0.0,0.00,0.00,1014.57,22.5,23.0,984.31
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.19,10-15-2019,07:00:00,8.00,22.5,86,000,0.0,0.00,0.00,1013.91,24.6,25.0,1006.51
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.18,10-15-2019,07:00:00,5.00,23.1,84,030,5.6,0.00,0.00,1014.55,25.5,26.0,994.45
48353,LOEI,เลย,เลย,17.45000,101.73333,26.17,10-15-2019,07:00:00,10.00,21.8,87,280,3.7,0.00,0.00,1014.68,23.5,24.1,985.57
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.37,10-15-2019,07:00:00,12.00,22.0,78,060,3.7,0.00,0.00,1014.47,25.0,26.0,994.10
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.25,10-15-2019,07:00:00,9.00,21.9,95,000,0.0,9.10,0.00,1014.74,22.3,22.8,992.56
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,28.11,10-15-2019,07:00:00,10.00,23.0,91,360,3.7,3.10,0.00,1014.19,23.3,24.5,994.42
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.22,10-15-2019,07:00:00,10.00,21.9,76,000,0.0,0.00,0.00,1014.64,24.3,26.5,997.75
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,27.36,10-15-2019,07:00:00,10.00,22.6,87,090,3.7,0.00,0.00,1014.82,22.7,24.8,997.16
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.45,10-15-2019,07:00:00,9.00,21.4,75,070,7.4,0.00,0.00,1013.48,25.0,26.2,987.49
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.33,10-15-2019,07:00:00,6.00,24.8,97,030,3.7,0.00,0.00,1013.33,24.0,25.4,1007.48
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.63,10-15-2019,07:00:00,7.00,23.3,93,000,0.0,0.00,0.00,1013.64,24.4,24.5,1007.35
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.94,10-15-2019,07:00:00,10.00,21.1,77,000,0.0,0.00,0.00,1015.64,21.0,25.3,998.97
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.17,10-15-2019,07:00:00,10.00,20.5,89,000,0.0,7.90,0.00,1012.29,21.4,22.4,989.51
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.11,10-15-2019,07:00:00,8.00,23.0,91,000,0.0,0.00,0.00,1014.48,23.7,24.5,999.87
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.66,10-15-2019,07:00:00,8.00,22.8,96,000,0.0,0.00,0.00,1014.27,23.0,23.5,997.58
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,27.20,10-15-2019,07:00:00,10.00,22.5,84,360,3.7,0.00,0.00,1012.79,24.0,25.3,1007.51
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.34,10-15-2019,07:00:00,10.00,21.9,86,000,0.0,0.00,0.00,1011.85,24.0,24.5,998.48
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.54,10-15-2019,07:00:00,10.00,23.8,92,330,1.9,0.00,0.00,1013.14,24.5,25.3,1003.70
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.84,10-15-2019,07:00:00,7.00,21.6,86,010,9.3,0.00,0.00,1013.81,23.8,24.2,991.78
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.19,10-15-2019,07:00:00,10.00,22.5,87,360,5.6,0.00,0.00,1013.94,24.0,24.7,996.18
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.60,10-15-2019,07:00:00,10.00,22.1,84,000,0.0,0.00,0.00,1013.43,24.3,25.1,997.40
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.19,10-15-2019,07:00:00,8.00,21.2,87,030,5.6,0.00,0.00,1013.15,23.0,23.5,993.93
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.14,10-15-2019,07:00:00,.10,18.4,95,000,0.0,0.00,0.00,1015.60,18.8,19.2,962.83
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.11,10-15-2019,07:00:00,4.00,24.2,90,000,0.0,0.00,0.00,1012.81,25.0,25.9,1008.81
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.02,10-15-2019,07:00:00,5.00,19.8,94,040,13.0,0.00,0.00,1014.37,18.2,20.7,918.34
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.68,10-15-2019,07:00:00,8.00,21.5,84,000,0.0,0.00,0.00,1013.32,23.0,24.4,997.09
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.32,10-15-2019,07:00:00,5.00,24.3,96,000,0.0,0.00,0.00,1012.45,24.6,25.0,1008.36
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.06,10-15-2019,07:00:00,9.00,21.8,73,020,9.3,0.00,0.00,1013.43,24.9,27.0,1002.69
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.50,10-15-2019,07:00:00,10.00,23.8,88,330,3.7,0.00,0.00,1012.37,25.8,26.0,1010.42
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.02,10-15-2019,07:00:00,10.00,21.1,77,000,0.0,0.01,0.00,1013.21,24.9,25.5,992.12
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.60,10-15-2019,07:00:00,10.00,21.5,83,040,9.3,1.00,0.00,1013.27,23.5,24.5,995.36
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.68,10-15-2019,07:00:00,10.00,22.2,86,000,0.0,0.00,0.00,1012.97,24.3,24.7,996.59
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.76,10-15-2019,07:00:00,10.00,22.2,87,000,0.0,0.00,0.00,1012.88,24.0,24.6,998.66
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.68,10-15-2019,07:00:00,8.00,22.2,86,000,0.0,0.00,0.00,1013.13,23.4,24.7,998.10
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.79,10-15-2019,07:00:00,9.00,22.8,88,030,3.7,0.00,0.00,1013.75,24.0,24.9,998.88
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.91,10-15-2019,07:00:00,6.00,24.0,92,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,0.00,0.00,1012.30,24.5,25.5,1009.25
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.67,10-15-2019,07:00:00,10.00,23.3,88,000,0.0,0.00,0.00,1012.93,24.8,25.4,1004.89
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.26,10-15-2019,07:00:00,7.00,23.7,92,050,3.7,6.10,0.00,1012.60,24.1,25.0,1011.47
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.02,10-15-2019,07:00:00,9.00,23.5,82,080,5.6,0.00,0.00,1011.06,24.5,26.9,996.32
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.53,10-15-2019,07:00:00,9.00,17.1,93,050,11.1,0.00,0.00,1013.39,18.0,18.3,877.04
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.32,10-15-2019,07:00:00,10.00,24.3,96,000,0.0,0.00,0.00,1012.98,23.9,25.0,1007.03
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.84,10-15-2019,07:00:00,.00,24.6,92,010,9.3,9.60,0.00,1011.54,25.5,26.0,1010.73
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.02,10-15-2019,07:00:00,8.00,24.1,84,140,7.4,3.60,0.00,1011.08,26.7,27.0,1010.63
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.33,10-15-2019,07:00:00,.60,22.5,96,000,0.0,12.00,0.00,1012.43,23.0,23.3,1000.93
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.58,10-15-2019,07:00:00,6.00,23.9,89,000,0.0,0.00,0.00,1012.12,25.2,25.9,1011.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.06,10-15-2019,07:00:00,8.00,21.8,73,070,11.1,0.00,0.00,1012.15,25.1,27.0,1010.32
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.67,10-15-2019,07:00:00,8.00,23.9,97,000,0.0,12.20,0.00,1012.25,23.4,24.5,1011.48
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.68,10-15-2019,07:00:00,10.00,23.9,88,350,5.6,8.40,0.00,1011.81,25.2,26.1,1011.10
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.55,10-15-2019,07:00:00,8.00,20.8,68,120,3.7,0.00,0.00,1011.20,25.7,27.3,1010.49
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.10,10-15-2019,07:00:00,8.00,22.4,87,020,3.7,0.00,0.00,1013.06,24.5,24.8,991.63
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.84,10-15-2019,07:00:00,7.00,22.3,87,000,0.0,0.00,0.00,1012.82,22.5,24.5,995.87
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.67,10-15-2019,07:00:00,6.00,22.1,91,040,11.1,0.00,0.00,1013.35,22.0,23.8,996.64
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.53,10-15-2019,07:00:00,6.00,23.3,96,000,0.0,0.00,0.00,1012.88,23.6,24.0,990.68
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.68,10-15-2019,07:00:00,9.00,21.5,84,070,14.8,0.00,0.00,1012.95,21.8,24.4,969.09
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.01,10-15-2019,07:00:00,6.00,22.4,89,020,5.6,0.00,0.00,1013.09,24.0,24.3,992.22
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,29.48,10-15-2019,07:00:00,6.00,23.8,98,030,9.3,0.00,0.00,1014.47,22.5,24.1,993.30
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.66,10-15-2019,07:00:00,8.00,23.9,98,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,16.00,0.00,1011.49,23.5,24.2,1011.05
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.60,10-15-2019,07:00:00,7.00,22.1,85,000,0.0,0.00,0.00,1011.09,23.6,24.8,1009.66
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.52,10-15-2019,07:00:00,7.00,23.8,93,000,0.0,1.00,0.00,1011.30,24.2,25.0,1006.32
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.36,10-15-2019,07:00:00,10.00,23.7,92,000,0.0,9.60,0.00,1012.07,22.8,25.2,1008.74
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.29,10-15-2019,07:00:00,10.00,23.7,100,000,0.0,9.10,0.00,1012.01,23.0,23.7,1010.88
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.56,10-15-2019,07:00:00,10.00,24.4,86,000,0.0,9.60,0.00,1011.45,26.2,27.0,1011.14
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.52,10-15-2019,07:00:00,8.00,24.9,86,000,0.0,7.00,0.00,1011.36,26.7,27.5,1010.67
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.58,10-15-2019,07:00:00,10.00,24.9,88,000,0.0,0.00,0.00,1010.85,26.0,27.1,1010.35
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.04,10-15-2019,07:00:00,8.00,25.2,94,000,0.0,30.20,0.00,1011.86,23.2,26.2,1010.44
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.97,10-15-2019,07:00:00,8.00,24.6,84,010,14.8,42.00,0.00,1011.51,27.0,27.5,1009.82
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.42,10-15-2019,07:00:00,10.00,23.2,98,000,0.0,0.00,0.00,1013.76,23.3,23.5,1005.61
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.77,10-15-2019,07:00:00,3.00,25.6,92,000,0.0,0.00,0.00,1011.13,25.0,27.0,1010.85
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.43,10-15-2019,07:00:00,10.00,24.3,88,000,0.0,8.90,0.00,1010.76,26.0,26.5,1007.61
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.51,10-15-2019,07:00:00,8.00,24.4,89,080,7.4,14.40,0.00,1011.03,25.9,26.4,1004.04
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.29,10-15-2019,07:00:00,8.00,22.5,84,030,7.4,0.00,0.00,1012.17,24.5,25.5,1006.52
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,30.34,10-15-2019,07:00:00,7.00,24.3,87,030,14.8,11.50,0.00,1012.09,25.4,26.6,1002.72
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.57,10-15-2019,07:00:00,12.00,23.9,97,320,3.7,32.80,0.00,1012.78,23.2,24.3,1011.50
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.47,10-15-2019,07:00:00,11.00,23.2,92,330,11.1,1.20,0.00,1011.46,23.8,24.7,1011.03
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.61,10-15-2019,07:00:00,6.00,23.3,97,000,0.0,0.00,0.00,1011.98,22.3,23.9,999.53
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.09,10-15-2019,07:00:00,10.00,24.1,92,270,7.4,0.00,0.00,1011.30,24.9,25.6,1010.58
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.19,10-15-2019,07:00:00,7.00,23.6,90,360,5.6,0.00,0.00,1011.94,24.5,25.4,1009.48
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.88,10-15-2019,07:00:00,9.00,22.3,80,040,5.6,0.00,0.00,1010.79,24.8,26.0,1010.27
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.95,10-15-2019,07:00:00,11.00,23.5,88,020,5.6,0.00,0.00,1011.15,24.8,25.7,1005.95
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.05,10-15-2019,07:00:00,8.00,22.4,81,000,0.0,0.00,0.00,1011.40,24.5,25.8,1010.98
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.44,10-15-2019,07:00:00,8.00,24.3,93,140,3.7,0.00,0.00,1011.95,24.7,25.5,1009.15
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.79,10-15-2019,07:00:00,10.00,24.0,94,000,0.0,0.00,0.00,1011.08,24.5,25.0,1010.29
48501,TRAD,ตราด,ตราด,11.76667,102.88333,28.37,10-15-2019,07:00:00,7.00,23.2,92,100,3.7,3.60,0.00,1010.95,23.1,24.5,1010.48
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.67,10-15-2019,07:00:00,7.00,23.9,97,000,0.0,8.20,0.00,1011.65,24.1,24.5,1010.96
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,27.66,10-15-2019,07:00:00,8.00,22.8,96,000,0.0,19.20,0.00,1011.00,23.5,23.5,1009.45
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.25,10-15-2019,07:00:00,10.00,22.5,93,000,0.0,0.00,0.00,1011.22,23.6,23.7,1010.29
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.20,10-15-2019,07:00:00,10.00,24.2,98,000,0.0,17.00,9.20,1011.55,23.9,24.5,1010.85
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,27.57,10-15-2019,07:00:00,8.00,22.7,98,000,0.0,1.30,0.00,1011.13,23.0,23.0,1010.32
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.77,10-15-2019,07:00:00,6.00,23.4,98,030,5.6,22.00,8.00,1011.22,23.2,23.7,1010.58
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.57,10-15-2019,07:00:00,10.00,23.9,97,000,0.0,6.60,0.01,1011.23,23.9,24.3,1010.82
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.08,10-15-2019,07:00:00,5.00,23.0,98,000,0.0,8.30,0.00,1012.77,23.0,23.3,1008.49
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,27.66,10-15-2019,07:00:00,5.00,22.8,96,000,0.0,0.00,0.00,1010.01,22.5,23.5,1008.38
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,28.42,10-15-2019,07:00:00,2.00,23.2,98,000,0.0,0.10,0.10,1011.10,23.0,23.5,1007.58
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.73,10-15-2019,07:00:00,9.00,24.5,100,280,5.6,10.20,3.00,1010.54,24.0,24.5,1009.17
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,27.66,10-15-2019,07:00:00,12.00,22.8,96,000,0.0,0.80,0.00,1010.09,23.2,23.5,1009.19
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.27,10-15-2019,07:00:00,10.00,23.1,95,000,0.0,0.00,0.00,1011.07,22.2,24.0,1007.46
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.87,10-15-2019,07:00:00,10.00,24.6,96,000,0.0,30.20,0.00,1010.41,24.8,25.3,1009.97
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.97,10-15-2019,07:00:00,10.00,24.1,94,000,0.0,0.00,0.00,1010.14,21.8,25.1,1009.14
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.74,10-15-2019,07:00:00,10.00,23.9,90,050,5.6,0.01,0.00,1010.61,24.3,25.7,1009.79
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.57,10-15-2019,07:00:00,7.00,23.9,97,000,0.0,0.00,0.00,1010.68,23.7,24.3,1008.84
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.81,10-15-2019,07:00:00,10.00,24.5,93,170,5.6,11.20,0.00,1010.52,24.9,25.7,1009.76
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.39,10-15-2019,07:00:00,4.00,24.8,99,000,0.0,7.00,0.00,1010.80,23.2,25.0,1006.76
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.41,10-15-2019,07:00:00,8.00,23.8,96,000,0.0,0.00,0.00,1011.36,24.4,24.5,1010.67
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.93,10-15-2019,07:00:00,10.00,24.1,97,000,0.0,4.20,0.00,1010.26,23.5,24.5,1009.14
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.30,10-15-2019,07:00:00,.50,23.7,98,000,0.0,0.01,0.00,1010.78,22.9,24.0,1007.82
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,29.13,10-15-2019,07:00:00,6.00,23.6,97,000,0.0,12.20,0.00,1010.69,23.8,24.2,1009.99
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.43,10-15-2019,07:00:00,9.00,23.2,97,270,11.1,8.20,0.00,1010.91,23.4,23.8,1006.73
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,27.25,10-15-2019,07:00:00,9.00,22.5,91,240,7.4,0.00,0.00,1010.29,.0,24.0,1009.69
