WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,DewPoint,StationPressure,Rainfall,LandVisibility,MeanSeaLevelPressure,WindDirection,AirTemperature,Rainfall24Hr,WindSpeed,MinimumTemperature
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.51,10-11-2019,07:00:00,92,22.7,989.46,0.00,10.00,1012.59,000,24.0,0.00,0.0,23.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.58,10-11-2019,07:00:00,95,22.1,981.98,0.00,8.00,1012.35,000,23.0,0.00,0.0,22.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.16,10-11-2019,07:00:00,96,22.4,976.43,0.00,4.00,1012.47,000,23.2,0.00,0.0,22.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.77,10-11-2019,07:00:00,98,23.4,982.07,0.00,4.00,1012.19,320,23.7,1.80,5.6,22.9
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.16,10-11-2019,07:00:00,93,23.6,1004.35,0.70,8.00,1011.75,000,24.8,31.30,0.0,24.4
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,29.50,10-11-2019,07:00:00,88,23.8,991.96,0.00,6.00,1012.01,350,26.0,0.00,3.7,25.0
48353,LOEI,เลย,เลย,17.45000,101.73333,28.18,10-11-2019,07:00:00,96,23.1,983.34,0.00,2.50,1012.41,000,23.8,0.50,0.0,23.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.56,10-11-2019,07:00:00,90,23.8,991.91,0.00,12.00,1012.26,280,25.6,0.00,1.9,23.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.11,10-11-2019,07:00:00,91,23.0,990.06,0.00,12.00,1012.06,000,24.5,0.00,0.0,23.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.07,10-11-2019,07:00:00,79,22.4,991.97,0.00,12.00,1011.57,180,26.4,0.00,7.4,24.3
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.50,10-11-2019,07:00:00,88,23.8,995.65,0.00,5.00,1012.53,000,26.0,0.00,0.0,23.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,28.59,10-11-2019,07:00:00,88,23.3,994.97,0.00,5.00,1012.55,000,25.5,0.00,0.0,22.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.09,10-11-2019,07:00:00,96,23.0,985.10,0.00,9.00,1011.26,000,23.6,0.00,0.0,23.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.48,10-11-2019,07:00:00,97,24.4,1005.62,0.00,10.00,1011.48,040,24.8,0.00,5.6,24.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.62,10-11-2019,07:00:00,95,23.3,1005.74,0.00,8.00,1012.02,000,24.2,0.00,0.0,23.9
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.58,10-11-2019,07:00:00,95,22.1,996.54,3.20,7.00,1013.30,000,23.0,5.40,0.0,22.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.83,10-11-2019,07:00:00,96,22.2,987.81,0.00,8.00,1010.50,130,23.0,62.50,3.7,22.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.50,10-11-2019,07:00:00,94,22.7,997.69,0.00,10.00,1012.31,000,23.7,12.40,0.0,23.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.86,10-11-2019,07:00:00,91,22.9,996.06,0.00,7.00,1012.67,000,24.5,50.90,0.0,23.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.00,10-11-2019,07:00:00,92,23.5,1006.66,0.00,10.00,1011.94,020,25.0,0.00,3.7,24.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.16,10-11-2019,07:00:00,93,23.6,997.90,0.00,10.00,1011.25,000,24.8,11.80,0.0,24.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.15,10-11-2019,07:00:00,95,23.6,1002.28,0.00,12.00,1011.73,000,24.5,0.00,0.0,24.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.23,10-11-2019,07:00:00,95,24.2,989.71,0.00,5.00,1011.63,300,25.1,0.00,3.7,24.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.29,10-11-2019,07:00:00,84,22.5,994.02,0.00,8.00,1011.68,000,25.5,0.00,0.0,24.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.29,10-11-2019,07:00:00,84,22.5,995.27,0.00,10.00,1011.25,000,25.5,0.00,0.0,24.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.25,10-11-2019,07:00:00,94,23.7,991.61,0.00,7.00,1010.70,000,24.7,0.00,0.0,24.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.69,10-11-2019,07:00:00,95,20.2,961.44,0.00,7.00,1013.80,000,21.0,44.60,0.0,20.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.19,10-11-2019,07:00:00,96,25.8,1007.61,0.00,5.00,1011.59,080,26.5,0.10,5.6,25.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,28.62,10-11-2019,07:00:00,95,23.3,916.55,0.00,6.00,1011.23,000,24.2,0.00,0.0,18.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.82,10-11-2019,07:00:00,91,24.0,995.11,0.00,7.00,1011.23,000,25.6,0.00,0.0,23.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.25,10-11-2019,07:00:00,96,24.8,1007.56,0.00,9.00,1011.63,000,25.5,12.90,0.0,24.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.58,10-11-2019,07:00:00,97,24.4,1001.69,0.30,5.00,1012.49,000,25.0,0.30,0.0,24.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.30,10-11-2019,07:00:00,90,24.3,1009.90,0.00,9.00,1011.85,000,26.0,0.00,0.0,25.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.36,10-11-2019,07:00:00,94,23.2,990.60,0.00,10.00,1011.75,000,24.2,0.00,0.0,23.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,29.50,10-11-2019,07:00:00,88,23.8,993.38,0.00,8.00,1011.17,050,26.0,0.00,7.4,24.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.01,10-11-2019,07:00:00,91,24.1,994.63,0.00,10.00,1010.92,000,25.7,0.00,0.0,24.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.79,10-11-2019,07:00:00,92,25.1,997.59,0.60,10.00,1011.72,000,26.5,0.60,0.0,25.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,30.79,10-11-2019,07:00:00,95,24.5,997.20,0.00,8.00,1012.19,000,25.4,0.00,0.0,24.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.96,10-11-2019,07:00:00,99,25.1,997.22,0.00,7.00,1012.04,000,25.3,2.50,0.0,24.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.34,10-11-2019,07:00:00,94,24.3,1008.66,0.00,10.00,1011.71,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",25.3,0.00,0.0,24.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.98,10-11-2019,07:00:00,93,23.5,1003.83,0.00,10.00,1011.88,000,24.7,0.00,0.0,24.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.74,10-11-2019,07:00:00,90,23.9,1010.28,0.00,5.00,1011.40,000,25.7,0.00,0.0,24.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.31,10-11-2019,07:00:00,71,24.3,995.91,0.00,8.00,1010.50,000,30.0,0.00,0.0,24.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.28,10-11-2019,07:00:00,99,17.7,877.49,0.00,9.00,1014.11,000,17.9,19.80,0.0,17.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,28.77,10-11-2019,07:00:00,98,23.4,1005.82,0.00,.20,1011.79,000,23.7,2.90,0.0,23.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.00,10-11-2019,07:00:00,83,23.5,1010.64,0.00,8.00,1011.44,000,26.6,0.00,0.0,25.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.34,10-11-2019,07:00:00,85,23.2,1010.31,0.00,8.00,1010.76,120,25.8,0.00,3.7,25.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,28.53,10-11-2019,07:00:00,96,23.3,1000.66,0.00,4.00,1012.13,000,24.0,6.30,0.0,23.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.79,10-11-2019,07:00:00,94,24.0,1010.59,0.00,8.00,1011.62,000,25.0,28.80,0.0,23.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.13,10-11-2019,07:00:00,90,23.0,1009.51,0.00,7.00,1011.35,000,24.8,0.00,0.0,24.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.69,10-11-2019,07:00:00,95,23.9,1010.67,0.00,7.00,1011.44,000,24.8,9.40,0.0,24.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.74,10-11-2019,07:00:00,83,22.8,1010.72,1.60,9.00,1011.43,000,25.9,12.60,0.0,23.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.48,10-11-2019,07:00:00,90,24.4,1010.60,0.00,7.00,1011.31,000,26.1,0.00,0.0,25.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.30,10-11-2019,07:00:00,98,23.7,990.53,0.00,8.00,1012.00,000,24.0,45.90,0.0,23.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.49,10-11-2019,07:00:00,97,23.8,994.97,0.00,4.00,1011.91,000,24.4,0.01,0.0,22.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.57,10-11-2019,07:00:00,97,23.9,995.38,0.00,5.00,1012.04,000,24.3,0.60,0.0,23.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.53,10-11-2019,07:00:00,96,23.3,989.86,0.00,8.00,1012.04,000,24.0,14.00,0.0,23.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.99,10-11-2019,07:00:00,97,22.3,968.15,0.00,8.00,1012.21,000,22.8,1.00,0.0,20.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.95,10-11-2019,07:00:00,90,22.9,990.82,0.00,7.00,1011.63,000,24.7,0.00,0.0,24.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.20,10-11-2019,07:00:00,99,24.7,991.94,0.00,7.00,1013.02,000,24.9,0.00,0.0,23.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.41,10-11-2019,07:00:00,92,24.9,1010.68,1.20,8.00,1011.12,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.3,1.20,0.0,25.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,28.97,10-11-2019,07:00:00,95,23.5,1009.83,0.00,5.00,1011.27,000,24.4,0.00,0.0,24.1
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.85,10-11-2019,07:00:00,97,24.6,1006.62,0.00,7.00,1011.61,000,25.0,0.00,0.0,24.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.74,10-11-2019,07:00:00,90,23.9,1008.15,0.01,9.00,1011.47,000,25.7,5.40,0.0,23.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,31.66,10-11-2019,07:00:00,100,25.0,1010.31,0.00,10.00,1011.43,000,25.0,0.00,0.0,24.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.98,10-11-2019,07:00:00,93,23.5,1010.78,3.30,10.00,1011.09,000,24.7,10.40,0.0,23.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,29.41,10-11-2019,07:00:00,96,23.8,1010.32,30.40,8.00,1011.02,000,24.5,55.20,0.0,24.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.66,10-11-2019,07:00:00,98,23.9,1010.36,25.40,8.00,1010.86,000,24.2,52.00,0.0,24.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.32,10-11-2019,07:00:00,81,22.5,1010.06,0.00,8.00,1011.48,350,26.1,0.00,7.4,25.2
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.78,10-11-2019,07:00:00,79,22.8,1009.44,2.30,7.00,1011.13,000,26.8,2.30,0.0,22.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.52,10-11-2019,07:00:00,97,23.3,1004.69,0.00,8.00,1012.83,000,23.7,0.00,0.0,23.1
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.04,10-11-2019,07:00:00,94,25.2,1010.75,0.00,5.00,1011.04,090,26.2,5.80,5.6,25.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.00,10-11-2019,07:00:00,92,23.5,1007.91,0.00,10.00,1011.08,000,25.0,0.00,0.0,24.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.53,10-11-2019,07:00:00,87,24.4,1004.05,0.00,8.00,1011.02,000,26.7,0.00,0.0,26.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.52,10-11-2019,07:00:00,94,24.4,1006.35,0.00,10.00,1012.01,000,25.4,0.01,0.0,24.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,30.16,10-11-2019,07:00:00,87,24.2,1002.64,0.00,8.00,1012.01,000,26.5,0.00,0.0,25.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.89,10-11-2019,07:00:00,93,24.0,1010.63,1.10,10.00,1011.91,000,25.2,1.10,0.0,24.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.02,10-11-2019,07:00:00,84,24.1,1010.60,0.00,11.00,1011.03,330,27.0,0.00,5.6,26.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.53,10-11-2019,07:00:00,96,23.3,999.33,0.00,2.00,1011.77,000,24.0,0.00,0.0,22.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.51,10-11-2019,07:00:00,89,24.4,1010.30,0.00,10.00,1011.02,270,26.4,0.00,5.6,25.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.32,10-11-2019,07:00:00,96,24.3,1008.96,0.00,5.00,1011.42,360,25.0,6.30,3.7,24.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.32,10-11-2019,07:00:00,96,24.3,1010.61,0.00,5.00,1011.13,050,25.0,0.50,3.7,24.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.60,10-11-2019,07:00:00,95,24.4,1005.97,0.00,10.00,1011.17,030,25.3,1.50,3.7,24.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,29.77,10-11-2019,07:00:00,96,24.0,1011.24,0.00,8.00,1011.66,000,24.7,0.30,0.0,23.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.41,10-11-2019,07:00:00,96,23.8,1008.89,0.00,8.00,1011.69,000,24.5,3.20,0.0,24.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.37,10-11-2019,07:00:00,92,23.2,1010.72,0.00,10.00,1011.51,310,24.5,0.00,3.7,24.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,27.09,10-11-2019,07:00:00,90,22.4,1010.62,0.00,7.00,1011.08,080,24.2,16.90,5.6,23.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.05,10-11-2019,07:00:00,96,23.6,1010.34,0.00,6.00,1011.03,000,24.3,0.00,0.0,23.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.13,10-11-2019,07:00:00,97,23.6,1009.65,0.00,6.00,1011.20,230,24.2,0.00,1.9,24.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.11,10-11-2019,07:00:00,91,23.0,1010.65,0.00,10.00,1011.57,040,24.5,11.70,3.7,24.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.41,10-11-2019,07:00:00,96,23.8,1010.41,0.00,10.00,1011.10,000,24.5,4.90,0.0,23.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.02,10-11-2019,07:00:00,98,24.1,1010.47,0.00,.80,1011.28,000,24.4,0.01,0.0,23.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.23,10-11-2019,07:00:00,96,23.7,1009.74,0.00,12.00,1010.39,330,24.4,0.00,5.6,23.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.49,10-11-2019,07:00:00,97,23.8,1010.21,0.00,10.00,1010.62,000,24.4,0.30,0.0,23.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.91,10-11-2019,07:00:00,98,22.9,1008.79,0.00,5.00,1013.07,000,23.2,2.40,0.0,23.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,27.91,10-11-2019,07:00:00,98,22.9,1010.31,0.00,7.00,1011.95,000,23.2,0.00,0.0,22.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,27.57,10-11-2019,07:00:00,98,22.7,1007.46,0.00,6.00,1011.00,000,23.0,1.40,0.0,23.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.92,10-11-2019,07:00:00,99,24.0,1009.58,0.00,8.00,1010.95,000,24.2,0.50,0.0,24.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.04,10-11-2019,07:00:00,97,23.6,1009.35,0.00,10.00,1010.25,000,24.0,3.80,0.0,23.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.42,10-11-2019,07:00:00,98,23.2,1007.52,0.00,10.00,1011.13,070,23.5,5.20,5.6,22.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.90,10-11-2019,07:00:00,94,24.6,1010.29,0.00,10.00,1010.73,000,25.6,3.00,0.0,25.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.41,10-11-2019,07:00:00,96,23.8,1009.34,0.00,10.00,1010.34,000,24.5,0.60,0.0,22.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.00,10-11-2019,07:00:00,92,23.5,1010.25,0.00,10.00,1011.08,070,25.0,0.40,9.3,24.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.56,10-11-2019,07:00:00,99,23.8,1009.29,0.00,.30,1011.13,000,24.0,1.30,0.0,23.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.96,10-11-2019,07:00:00,88,22.9,1010.47,0.00,10.00,1011.23,220,25.0,0.00,5.6,23.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.49,10-11-2019,07:00:00,99,22.6,1007.63,0.00,1.10,1011.70,990,22.8,43.80,3.7,22.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,28.63,10-11-2019,07:00:00,93,23.3,1010.80,0.00,10.00,1011.49,000,24.5,0.00,0.0,23.9
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.17,10-11-2019,07:00:00,97,23.0,1010.03,0.00,10.00,1011.16,000,23.5,25.40,0.0,22.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,27.82,10-11-2019,07:00:00,99,22.8,1008.51,0.00,.40,1011.48,000,23.0,40.60,0.0,21.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.24,10-11-2019,07:00:00,98,22.5,1010.85,0.00,10.00,1011.55,000,22.8,8.10,0.0,22.4
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,26.99,10-11-2019,07:00:00,99,22.3,1007.65,0.00,.80,1011.85,000,22.5,47.20,0.0,21.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,26.33,10-11-2019,07:00:00,90,21.9,1010.10,0.00,9.00,1010.70,250,23.6,0.00,5.6,.0
